Year,Week,Type,Team Name,Team ID,Owner,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name,Opponent Team ID,Opponent Owner
2021,13,Regular,Team nunu man ,6,Tahmeed,Away,1556.0,1171.0,1,0,Monjizl Wanker Lads,1,Frank
2021,14,Regular,Team nunu man ,6,Tahmeed,Home,1427.0,1297.0,1,0,New Jersey Eren,2,Eren
2021,15,Regular,Team nunu man ,6,Tahmeed,Home,1413.0,1271.0,1,0,Killian SkyWalker,8,Jonathan
2021,16,Regular,Team nunu man ,6,Tahmeed,Away,1134.0,1167.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,17,Playoffs,Team nunu man ,6,Tahmeed,Home,3193.0,2724.0,1,0,New Jersey Eren,2,Eren
2021,18,Playoffs,Team nunu man ,6,Tahmeed,Home,2921.0,3235.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,1,Regular,Who Invited This Kid?,7,Jooahn,Away,1048.0,980.0,1,0,Team nunu man ,6,Tahmeed
2021,2,Regular,Who Invited This Kid?,7,Jooahn,Home,1585.0,947.0,1,0,Monjizl Wanker Lads,1,Frank
2021,3,Regular,Who Invited This Kid?,7,Jooahn,Away,1520.0,1549.0,0,1,New Jersey Eren,2,Eren
2021,4,Regular,Who Invited This Kid?,7,Jooahn,Away,1064.0,835.0,1,0,Killian SkyWalker,8,Jonathan
2021,5,Regular,Who Invited This Kid?,7,Jooahn,Home,1140.0,1260.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,6,Regular,Who Invited This Kid?,7,Jooahn,Away,1410.0,1146.0,1,0,Ben’s Sons,10,Benson
2021,7,Regular,Who Invited This Kid?,7,Jooahn,Away,1752.0,1442.0,1,0,Back to Back Spasms,4,Paul
2021,8,Regular,Who Invited This Kid?,7,Jooahn,Away,1873.0,880.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,9,Regular,Who Invited This Kid?,7,Jooahn,Home,1642.0,1195.0,1,0,Michigan Wolversemen,12,Semanto
2021,10,Regular,Who Invited This Kid?,7,Jooahn,Home,1553.0,1616.0,0,1,Team nunu man ,6,Tahmeed
2021,11,Regular,Who Invited This Kid?,7,Jooahn,Away,2116.0,1449.0,1,0,Monjizl Wanker Lads,1,Frank
2021,12,Regular,Who Invited This Kid?,7,Jooahn,Home,1579.0,1403.0,1,0,New Jersey Eren,2,Eren
2021,13,Regular,Who Invited This Kid?,7,Jooahn,Home,1587.0,1332.0,1,0,Killian SkyWalker,8,Jonathan
2021,14,Regular,Who Invited This Kid?,7,Jooahn,Away,1430.0,1321.0,1,0,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,15,Regular,Who Invited This Kid?,7,Jooahn,Home,1734.0,1302.0,1,0,Ben’s Sons,10,Benson
2021,16,Regular,Who Invited This Kid?,7,Jooahn,Home,1789.0,494.0,1,0,Back to Back Spasms,4,Paul
2021,17,Playoffs,Who Invited This Kid?,7,Jooahn,Home,2586.0,3312.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,18,Playoffs,Who Invited This Kid?,7,Jooahn,Home,2477.0,2452.0,1,0,New Jersey Eren,2,Eren
2021,1,Regular,Killian SkyWalker,8,Jonathan,Home,965.0,845.0,1,0,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,2,Regular,Killian SkyWalker,8,Jonathan,Away,1282.0,1333.0,0,1,Ben’s Sons,10,Benson
2021,3,Regular,Killian SkyWalker,8,Jonathan,Away,1224.0,1599.0,0,1,Back to Back Spasms,4,Paul
2021,4,Regular,Killian SkyWalker,8,Jonathan,Home,835.0,1064.0,0,1,Who Invited This Kid?,7,Jooahn
2021,5,Regular,Killian SkyWalker,8,Jonathan,Home,1240.0,1184.0,1,0,Michigan Wolversemen,12,Semanto
2021,6,Regular,Killian SkyWalker,8,Jonathan,Home,1132.0,1569.0,0,1,Team nunu man ,6,Tahmeed
2021,7,Regular,Killian SkyWalker,8,Jonathan,Away,1251.0,1407.0,0,1,Monjizl Wanker Lads,1,Frank
2021,8,Regular,Killian SkyWalker,8,Jonathan,Home,1098.0,1457.0,0,1,New Jersey Eren,2,Eren
2021,9,Regular,Killian SkyWalker,8,Jonathan,Away,708.0,822.0,0,1,Fuck Kevin Garnett,5,Shayan
2021,10,Regular,Killian SkyWalker,8,Jonathan,Away,894.0,1404.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,11,Regular,Killian SkyWalker,8,Jonathan,Home,1542.0,1258.0,1,0,Ben’s Sons,10,Benson
2021,12,Regular,Killian SkyWalker,8,Jonathan,Home,1268.0,1546.0,0,1,Back to Back Spasms,4,Paul
2021,13,Regular,Killian SkyWalker,8,Jonathan,Away,1332.0,1587.0,0,1,Who Invited This Kid?,7,Jooahn
2021,14,Regular,Killian SkyWalker,8,Jonathan,Away,1291.0,1381.0,0,1,Michigan Wolversemen,12,Semanto
2021,15,Regular,Killian SkyWalker,8,Jonathan,Away,1271.0,1413.0,0,1,Team nunu man ,6,Tahmeed
2021,16,Regular,Killian SkyWalker,8,Jonathan,Home,1004.0,1391.0,0,1,Monjizl Wanker Lads,1,Frank
2021,17,Playoffs,Killian SkyWalker,8,Jonathan,Away,3045.0,1507.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,18,Playoffs,Killian SkyWalker,8,Jonathan,Away,2157.0,1236.0,1,0,Back to Back Spasms,4,Paul
2021,1,Regular,Ben’s Sons,10,Benson,Away,782.0,993.0,0,1,New Jersey Eren,2,Eren
2021,2,Regular,Ben’s Sons,10,Benson,Home,1333.0,1282.0,1,0,Killian SkyWalker,8,Jonathan
2021,3,Regular,Ben’s Sons,10,Benson,Home,1150.0,1527.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,4,Regular,Ben’s Sons,10,Benson,Away,955.0,848.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,5,Regular,Ben’s Sons,10,Benson,Away,1283.0,1373.0,0,1,Back to Back Spasms,4,Paul
2021,6,Regular,Ben’s Sons,10,Benson,Home,1146.0,1410.0,0,1,Who Invited This Kid?,7,Jooahn
2021,7,Regular,Ben’s Sons,10,Benson,Home,1374.0,1385.0,0,1,Michigan Wolversemen,12,Semanto
2021,8,Regular,Ben’s Sons,10,Benson,Home,1439.0,1382.0,1,0,Team nunu man ,6,Tahmeed
2021,9,Regular,Ben’s Sons,10,Benson,Away,1193.0,1173.0,1,0,Monjizl Wanker Lads,1,Frank
2021,10,Regular,Ben’s Sons,10,Benson,Home,995.0,1413.0,0,1,New Jersey Eren,2,Eren
2021,11,Regular,Ben’s Sons,10,Benson,Away,1258.0,1542.0,0,1,Killian SkyWalker,8,Jonathan
2021,12,Regular,Ben’s Sons,10,Benson,Away,1244.0,1492.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,13,Regular,Ben’s Sons,10,Benson,Home,1253.0,888.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,14,Regular,Ben’s Sons,10,Benson,Home,1434.0,1221.0,1,0,Back to Back Spasms,4,Paul
2021,15,Regular,Ben’s Sons,10,Benson,Away,1302.0,1734.0,0,1,Who Invited This Kid?,7,Jooahn
2021,16,Regular,Ben’s Sons,10,Benson,Away,1462.0,1288.0,1,0,Michigan Wolversemen,12,Semanto
2021,17,Playoffs,Ben’s Sons,10,Benson,Away,2759.0,1359.0,1,0,Back to Back Spasms,4,Paul
2021,18,Playoffs,Ben’s Sons,10,Benson,Home,2560.0,3295.0,0,1,Michigan Wolversemen,12,Semanto
2021,1,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,845.0,965.0,0,1,Killian SkyWalker,8,Jonathan
2021,2,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,1171.0,1280.0,0,1,Fuck Kevin Garnett,5,Shayan
2021,3,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,1527.0,1150.0,1,0,Ben’s Sons,10,Benson
2021,4,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1235.0,1246.0,0,1,Back to Back Spasms,4,Paul
2021,5,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,1260.0,1140.0,1,0,Who Invited This Kid?,7,Jooahn
2021,6,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,1283.0,1314.0,0,1,Michigan Wolversemen,12,Semanto
2021,7,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,1593.0,1226.0,1,0,Team nunu man ,6,Tahmeed
2021,8,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1526.0,1177.0,1,0,Monjizl Wanker Lads,1,Frank
2021,9,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,1591.0,865.0,1,0,New Jersey Eren,2,Eren
2021,10,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1404.0,894.0,1,0,Killian SkyWalker,8,Jonathan
2021,11,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1708.0,1220.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,12,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1492.0,1244.0,1,0,Ben’s Sons,10,Benson
2021,13,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,1305.0,1388.0,0,1,Back to Back Spasms,4,Paul
2021,14,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1321.0,1430.0,0,1,Who Invited This Kid?,7,Jooahn
2021,15,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1450.0,1280.0,1,0,Michigan Wolversemen,12,Semanto
2021,16,Regular,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Home,1167.0,1134.0,1,0,Team nunu man ,6,Tahmeed
2021,17,Playoffs,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,3312.0,2586.0,1,0,Who Invited This Kid?,7,Jooahn
2021,18,Playoffs,🧂🧂🧂 Ishouldbe9-1,11,Ibteda,Away,3235.0,2921.0,1,0,Team nunu man ,6,Tahmeed
2021,1,Regular,Michigan Wolversemen,12,Semanto,Away,868.0,1069.0,0,1,Fuck Kevin Garnett,5,Shayan
2021,2,Regular,Michigan Wolversemen,12,Semanto,Home,1591.0,1473.0,1,0,Team nunu man ,6,Tahmeed
2021,3,Regular,Michigan Wolversemen,12,Semanto,Away,1390.0,1396.0,0,1,Monjizl Wanker Lads,1,Frank
2021,4,Regular,Michigan Wolversemen,12,Semanto,Home,1024.0,1242.0,0,1,New Jersey Eren,2,Eren
2021,5,Regular,Michigan Wolversemen,12,Semanto,Away,1184.0,1240.0,0,1,Killian SkyWalker,8,Jonathan
2021,6,Regular,Michigan Wolversemen,12,Semanto,Home,1314.0,1283.0,1,0,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,7,Regular,Michigan Wolversemen,12,Semanto,Away,1385.0,1374.0,1,0,Ben’s Sons,10,Benson
2021,8,Regular,Michigan Wolversemen,12,Semanto,Home,1126.0,1314.0,0,1,Back to Back Spasms,4,Paul
2021,9,Regular,Michigan Wolversemen,12,Semanto,Away,1195.0,1642.0,0,1,Who Invited This Kid?,7,Jooahn
2021,10,Regular,Michigan Wolversemen,12,Semanto,Home,1485.0,848.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,11,Regular,Michigan Wolversemen,12,Semanto,Away,1722.0,1738.0,0,1,Team nunu man ,6,Tahmeed
2021,12,Regular,Michigan Wolversemen,12,Semanto,Home,1507.0,1438.0,1,0,Monjizl Wanker Lads,1,Frank
2021,13,Regular,Michigan Wolversemen,12,Semanto,Away,1186.0,1303.0,0,1,New Jersey Eren,2,Eren
2021,14,Regular,Michigan Wolversemen,12,Semanto,Home,1381.0,1291.0,1,0,Killian SkyWalker,8,Jonathan
2021,15,Regular,Michigan Wolversemen,12,Semanto,Away,1280.0,1450.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,16,Regular,Michigan Wolversemen,12,Semanto,Home,1288.0,1462.0,0,1,Ben’s Sons,10,Benson
2021,17,Playoffs,Michigan Wolversemen,12,Semanto,Away,2986.0,2023.0,1,0,Monjizl Wanker Lads,1,Frank
2021,18,Playoffs,Michigan Wolversemen,12,Semanto,Away,3295.0,2560.0,1,0,Ben’s Sons,10,Benson
2022,1,Regular,Monjizl Wanker Lads,1,Frank,Home,1025.0,839.0,1,0,New Jersey Eren,2,Eren
2022,2,Regular,Monjizl Wanker Lads,1,Frank,Away,1457.0,1369.0,1,0,L-Eat Gang,11,Ibteda
2022,3,Regular,Monjizl Wanker Lads,1,Frank,Home,1319.0,1375.0,0,1,Fuck Kevin Garnett,5,Shayan
2022,4,Regular,Monjizl Wanker Lads,1,Frank,Home,1114.0,1648.0,0,1,The Bronx Gangbangers,13,Arian
2022,5,Regular,Monjizl Wanker Lads,1,Frank,Away,1286.0,1237.0,1,0,Who Invited This Kid?,7,Jooahn
2022,6,Regular,Monjizl Wanker Lads,1,Frank,Home,896.0,1288.0,0,1,Michigan Wolversemen,12,Semanto
2022,7,Regular,Monjizl Wanker Lads,1,Frank,Away,1009.0,1354.0,0,1,Ben’s Sons,10,Benson
2022,8,Regular,Monjizl Wanker Lads,1,Frank,Home,1048.0,731.0,1,0,NYC Chopp Cheese,16,Allen
2022,9,Regular,Monjizl Wanker Lads,1,Frank,Away,1001.0,1051.0,0,1,Team nunu man ,6,Tahmeed
2022,10,Regular,Monjizl Wanker Lads,1,Frank,Home,625.0,759.0,0,1,My Entire Team  Suggs,4,Paul
2022,11,Regular,Monjizl Wanker Lads,1,Frank,Away,567.0,1090.0,0,1,The Taste of Lavar's Balls,8,Jonathan
2022,12,Regular,Monjizl Wanker Lads,1,Frank,Away,769.0,1461.0,0,1,New Jersey Eren,2,Eren
2022,13,Regular,Monjizl Wanker Lads,1,Frank,Home,1130.0,814.0,1,0,L-Eat Gang,11,Ibteda
2022,14,Regular,Monjizl Wanker Lads,1,Frank,Away,1607.0,1080.0,1,0,Fuck Kevin Garnett,5,Shayan
2022,15,Regular,Monjizl Wanker Lads,1,Frank,Away,1269.0,1147.0,1,0,The Bronx Gangbangers,13,Arian
2022,16,Regular,Monjizl Wanker Lads,1,Frank,Home,1437.0,1446.0,0,1,Who Invited This Kid?,7,Jooahn
2022,17,Regular,Monjizl Wanker Lads,1,Frank,Home,1186.0,1173.0,1,0,Michigan Wolversemen,12,Semanto
2022,18,Regular,Monjizl Wanker Lads,1,Frank,Away,1803.0,1387.0,1,0,Ben’s Sons,10,Benson
2022,19,Regular,Monjizl Wanker Lads,1,Frank,Home,1207.0,1143.0,1,0,NYC Chopp Cheese,16,Allen
2022,20,Regular,Monjizl Wanker Lads,1,Frank,Away,1388.0,762.0,1,0,Team nunu man ,6,Tahmeed
2022,21,Regular,Monjizl Wanker Lads,1,Frank,Home,989.0,920.0,1,0,NYC Chopp Cheese,16,Allen
2022,22,Playoffs,Monjizl Wanker Lads,1,Frank,Home,1170.0,1216.0,0,1,L-Eat Gang,11,Ibteda
2022,23,Playoffs,Monjizl Wanker Lads,1,Frank,Home,1103.0,1195.0,0,1,My Entire Team  Suggs,4,Paul
2022,24,Playoffs,Monjizl Wanker Lads,1,Frank,Home,674.0,1087.0,0,1,The Taste of Lavar's Balls,8,Jonathan
2022,1,Regular,New Jersey Eren,2,Eren,Away,839.0,1025.0,0,1,Monjizl Wanker Lads,1,Frank
2022,2,Regular,New Jersey Eren,2,Eren,Home,1190.0,1267.0,0,1,The Bronx Gangbangers,13,Arian
2022,3,Regular,New Jersey Eren,2,Eren,Away,1257.0,1273.0,0,1,L-Eat Gang,11,Ibteda
2022,4,Regular,New Jersey Eren,2,Eren,Home,1271.0,1020.0,1,0,Who Invited This Kid?,7,Jooahn
2022,5,Regular,New Jersey Eren,2,Eren,Away,1201.0,924.0,1,0,Fuck Kevin Garnett,5,Shayan
2022,6,Regular,New Jersey Eren,2,Eren,Home,763.0,1243.0,0,1,Ben’s Sons,10,Benson
2022,7,Regular,New Jersey Eren,2,Eren,Away,1049.0,617.0,1,0,NYC Chopp Cheese,16,Allen
2022,8,Regular,New Jersey Eren,2,Eren,Home,1307.0,715.0,1,0,Team nunu man ,6,Tahmeed
2022,9,Regular,New Jersey Eren,2,Eren,Away,1319.0,897.0,1,0,My Entire Team  Suggs,4,Paul
2022,10,Regular,New Jersey Eren,2,Eren,Home,828.0,929.0,0,1,The Taste of Lavar's Balls,8,Jonathan
2022,11,Regular,New Jersey Eren,2,Eren,Away,1081.0,1120.0,0,1,Michigan Wolversemen,12,Semanto
2022,12,Regular,New Jersey Eren,2,Eren,Home,1461.0,769.0,1,0,Monjizl Wanker Lads,1,Frank
2022,13,Regular,New Jersey Eren,2,Eren,Away,1397.0,871.0,1,0,The Bronx Gangbangers,13,Arian
2022,14,Regular,New Jersey Eren,2,Eren,Home,1599.0,1096.0,1,0,L-Eat Gang,11,Ibteda
2022,15,Regular,New Jersey Eren,2,Eren,Away,1385.0,1256.0,1,0,Who Invited This Kid?,7,Jooahn
