Year,Week,Type,Team Name,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name
2022,7,Regular,New Jersey Eren,Away,1049,617,1,0,NYC Chopp Cheese
2022,8,Regular,New Jersey Eren,Home,1307,715,1,0,Team nunu man 
2022,9,Regular,New Jersey Eren,Away,1319,897,1,0,My Entire Team  Suggs
2022,10,Regular,New Jersey Eren,Home,828,929,0,1,The Taste of Lavar's Balls
2022,11,Regular,New Jersey Eren,Away,1081,1120,0,1,Michigan Wolversemen
2022,12,Regular,New Jersey Eren,Home,1461,769,1,0,Monjizl Wanker Lads
2022,13,Regular,New Jersey Eren,Away,1397,871,1,0,The Bronx Gangbangers
2022,14,Regular,New Jersey Eren,Home,1599,1096,1,0,L-Eat Gang
2022,15,Regular,New Jersey Eren,Away,1385,1256,1,0,Who Invited This Kid?
2022,16,Regular,New Jersey Eren,Home,1510,981,1,0,Fuck Kevin Garnett
2022,17,Regular,New Jersey Eren,Home,1195,1195,0,1,Ben’s Sons
2022,18,Regular,New Jersey Eren,Away,1294,1212,1,0,NYC Chopp Cheese
2022,19,Regular,New Jersey Eren,Home,963,800,1,0,Team nunu man 
2022,20,Regular,New Jersey Eren,Away,1261,1045,1,0,My Entire Team  Suggs
2022,21,Regular,New Jersey Eren,Home,1239,1152,1,0,Ben’s Sons
2022,22,Playoffs,New Jersey Eren,Home,1634,1433,1,0,My Entire Team  Suggs
2022,23,Playoffs,New Jersey Eren,Away,2004,1382,1,0,Who Invited This Kid?
2022,24,Playoffs,New Jersey Eren,Away,1467,1207,1,0,Michigan Wolversemen
2022,1,Regular,My Entire Team  Suggs,Away,1034,1020,1,0,Team nunu man 
2022,2,Regular,My Entire Team  Suggs,Home,1039,1100,0,1,Michigan Wolversemen
2022,3,Regular,My Entire Team  Suggs,Home,1206,1540,0,1,Ben’s Sons
2022,4,Regular,My Entire Team  Suggs,Away,1229,1056,1,0,NYC Chopp Cheese
2022,5,Regular,My Entire Team  Suggs,Home,1250,1246,1,0,The Taste of Lavar's Balls
2022,6,Regular,My Entire Team  Suggs,Away,1322,1324,0,1,L-Eat Gang
2022,7,Regular,My Entire Team  Suggs,Home,999,1254,0,1,Who Invited This Kid?
2022,8,Regular,My Entire Team  Suggs,Away,1181,1055,1,0,Fuck Kevin Garnett
2022,9,Regular,My Entire Team  Suggs,Home,897,1319,0,1,New Jersey Eren
2022,10,Regular,My Entire Team  Suggs,Away,759,625,1,0,Monjizl Wanker Lads
2022,11,Regular,My Entire Team  Suggs,Home,1081,930,1,0,The Bronx Gangbangers
2022,12,Regular,My Entire Team  Suggs,Home,1116,913,1,0,Team nunu man 
2022,13,Regular,My Entire Team  Suggs,Away,1115,1204,0,1,Michigan Wolversemen
2022,14,Regular,My Entire Team  Suggs,Away,1243,1185,1,0,Ben’s Sons
2022,15,Regular,My Entire Team  Suggs,Home,1099,1003,1,0,NYC Chopp Cheese
2022,16,Regular,My Entire Team  Suggs,Away,1289,931,1,0,The Taste of Lavar's Balls
2022,17,Regular,My Entire Team  Suggs,Away,1000,1143,0,1,L-Eat Gang
2022,18,Regular,My Entire Team  Suggs,Home,1283,1865,0,1,Who Invited This Kid?
2022,19,Regular,My Entire Team  Suggs,Away,1738,944,1,0,Fuck Kevin Garnett
2022,20,Regular,My Entire Team  Suggs,Home,1045,1261,0,1,New Jersey Eren
2022,21,Regular,My Entire Team  Suggs,Away,971,1272,0,1,Who Invited This Kid?
2022,22,Playoffs,My Entire Team  Suggs,Away,1433,1634,0,1,New Jersey Eren
2022,23,Playoffs,My Entire Team  Suggs,Away,1195,1103,1,0,Monjizl Wanker Lads
2022,24,Playoffs,My Entire Team  Suggs,Home,1073,415,1,0,Ben’s Sons
2022,1,Regular,Fuck Kevin Garnett,Home,899,835,1,0,The Bronx Gangbangers
2022,2,Regular,Fuck Kevin Garnett,Away,989,1342,0,1,Who Invited This Kid?
2022,3,Regular,Fuck Kevin Garnett,Away,1375,1319,1,0,Monjizl Wanker Lads
2022,4,Regular,Fuck Kevin Garnett,Home,1238,1477,0,1,L-Eat Gang
2022,5,Regular,Fuck Kevin Garnett,Home,924,1201,0,1,New Jersey Eren
2022,6,Regular,Fuck Kevin Garnett,Home,972,892,1,0,NYC Chopp Cheese
